Title,Workplace,Job Type,Location,Description,Page URL
Senior/Lead Backend Engineer,Hybrid,Full time,"London, England, United Kingdom","Fuse Energy is a forward-thinking renewable energy startup on a mission to deliver a terawatt of renewable energy - fast. We're combining first-principles thinking with cutting-edge technology to build a radically better energy system. We raised $210M from top-tier investors including Multicoin, Balderton, Lakestar, Accel, Creandum, Lowercarbon, Ribbit, Box Group and strategic angels like Nico Rosberg, the Co-Founder of Solana and GPs behind Meta, Revolut, Spotify, Uber and more.

We’re creating a fully integrated energy company: from developing solar and wind projects to real-time power trading and distributed energy installations. By selling directly to consumers, we cut out the middleman, lower costs and pass on savings to customers.

Responsibilities

In this role you will work closely within product to build the core digital infrastructure for a next-generation energy company. You will use your experience to engineer backend infrastructure that is second-to-none.

You'll be working across the back-end:

Constructing a real-time digital twin of our renewable generation and customer demand
Developing messaging interfaces with our third-party providers
Building high-volume pipelines for processing customer energy consumption
Build the backend of a world class energy app

For this role, you should be able to think on your feet and adapt to new business needs as well as take ownership of projects and drive change.",https://apply.workable.com/fuseenergy/j/B73DB96A02/
Senior Full Stack Engineer,Remote,Full time,"Amman, Amman Governorate, Jordan","Who Are We❓
We Are Foodics! a leading restaurant management ecosystem and payment tech provider. Founded in 2014 with headquarter in Riyadh and offices across 5 countries, including UAE, Egypt, Jordan and Kuwait. We are currently serving customers and partners in over 35 different countries worldwide. Our innovative products have successfully processed over 6 billion (yes, billion with a B) orders so far! making Foodics one of the most rapidly evolving SaaS companies to ever emerge from the MENA region. Also Foodics has achieved three rounds of funding, with the latest raising $170 million in the largest SaaS funding round in MENA, boosting its innovation capabilities to better serve business owners.


The Job in a Nutshell💡 

We're hiring a Senior Engineer to lead significant pieces of work on our platform - from shaping the problem with Product, through designing the solution, to shipping it and supporting it in production. You'll be a key technical voice on the team, helping to set the bar for what good looks like and mentoring others as you go. You'll be working with modern PHP and TypeScript/React on a platform that processes hundreds of thousands of orders a week. The challenges are real, the autonomy is high, and the team is small enough that your decisions matter.

What Will You Do❓

Lead the development of new features end-to-end - from refining the requirements with Product through to shipping and monitoring in production.
Drive the technical design of significant system changes and set development standards for the Backend team.
Mentor others and be willing to learn from them in turn.
Enthuse about new technology and look for pragmatic opportunities to enhance our existing technology stack.
Operate with autonomy: identify problems, propose solutions, and follow through without needing to be managed.

What Are We Looking For❓

Backend depth: Comfortable leading non-trivial work in modern PHP (7/8+) - Object-Oriented Design, testability, and the trade-offs of common patterns are second nature.

Frontend competence: Can ship production React/TypeScript features end-to-end without supervision.

Scale experience: You've worked on high-traffic web applications and understand what breaks at scale - database hotspots, caching, queueing, idempotency, observability.

Relational databases: Practical experience with MySQL or similar - you can read an EXPLAIN plan and fix a slow query without guessing.

Integration work: Experience designing and consuming HTTP APIs, including handling the messy realities of third-party reliability.

AI-assisted development: You use modern AI coding tools (Claude Code, Cursor, Copilot or similar) as part of your daily workflow - and you have a healthy scepticism of their output. You can tell when the model is bluffing and you don't merge code you don't understand.

Product partnership: Can work with Product Managers to refine requirements, push back constructively, and give honest estimates.

Communication: Can explain technical decisions to non-engineers and write clearly enough that async collaboration actually works.

Judgment: Strong problem-solving, attention to detail, and the instinct to ask ""do we actually need this?"" before adding complexity.

Who Will Excel❓

DevOps experience with a major cloud provider (AWS / GCP / Azure).
Kubernetes, CI/CD pipelines.
Python, Node, or other backend languages - we care more about polyglot instinct than the specific stack.
Elasticsearch, GraphQL.
Experience evaluating or building features that incorporate LLMs into a product (prompt design, RAG, evals, cost/latency trade-offs).

What We Offer You❗

Curated career progression planning with formal yearly reviews and informal check-ins along the way.
Encouragement to grow into a Feature Development Lead.
A competitive salary.
Ample time to learn new concepts - including paid development and business-related conferences.
Fully remote working, no commuting expenses.
Flexible work hours. We'll need you around for a 10am stand-up; otherwise you work as and when it suits you.
25 days holiday (plus bank holidays), with an additional day per year of service.
Regular all-company socials and quarterly team socials.
A team that genuinely likes learning and shipping together.",https://apply.workable.com/foodics/j/246B485954/
Senior Full Stack Software Engineer Remote,On-site,Full time,"Johor Bahru, Johor, Malaysia","Senior Full Stack Software Engineer (Remote)

- This role is 100% remote
- You will need to come to KL for 1-2 days for onboarding (this is non negotiable)

About the Company
- Fast-growing AI healthtech startup building a platform for the pharmaceutical industry.
- Join a small, high-ownership team and work closely with the founders.
- Currently scaling the product for many more users.

Why You Should Apply
- Join at an important time to shape how the product grows.
- Opportunities to grow into technical leadership and architectural roles.
- Work at the intersection of AI and healthcare.

Project
- The product uses AI to help organizations follow complex global regulations quickly and accurately.

Role & Responsibilities (What You Will Do)
- Turn ideas from concepts into finished products.
- Work with Node.js and Python to build scalable cloud solutions.
- Collaborate with the CEO and AI teams.
- This is a technical role with no people management duties.

Must Have Experience
- Building full-stack platforms using TypeScript and Python.
- Designing safe and scalable system architecture.
- Creating UIs with React, Vue, or Angular.
- Integrating AI models into production systems.
- Writing clean code and maintaining clear documentation in Confluence.
- Managing systems in AWS, Azure, or GCP.

Must Have Technical Skills
- TypeScript
- Python
- Node.js

Nice to Have / Bonus
- Experience with Next.js, Nest.js, and PostgreSQL.
- Familiarity with TanStack Query, Tailwind CSS, and Zod.
- Experience with Docker and Docker Compose.

Team
- Work directly with the CEO.
- Technical contributor role with no direct reports.

Culture
- Ability to work independently with minimal supervision.
- Proactive communication and frequent documentation updates.

About You
- 4-6 years of senior or full-stack engineering experience.
- Experience with Prisma ORM and relational databases.
- Proven record of building and scaling production web applications.

How to Apply
- Click ""apply"" and share your LinkedIn profile or CV.
- Every applicant will receive a reply.
- Important: You must have work rights in Malaysia; no visas or relocation provided.",https://apply.workable.com/fuku/j/DA8B29ACBC/
Full Stack Developer Team LeadWFH/Remote,On-site,Full time,"Jakarta, Jakarta, Indonesia","Work Duration:
- Monday to Friday, 8:30am to 6:00pm (GMT +8)

Salary:
- IDR 16–20 million

Role Overview:
We are seeking a skilled Full Stack Developer with leadership capabilities to drive end-to-end web application development while overseeing and guiding a small development team. This is a hands-on technical role with added responsibility for team coordination and delivery.

Key Responsibilities:

Development:
- Design and develop robust user interfaces, APIs, and business logic using C#.NET and ASP.NET.
- Build responsive and intuitive user interfaces with AngularJS, JavaScript, jQuery, HTML, and CSS.
- Architect and maintain MS SQL Server databases, ensuring optimal performance and data integrity.
- Develop internal APIs and integrate with external APIs for seamless cross-application connectivity.
- Uphold code quality, system stability, and maintainability by following best practices and design patterns.
- Troubleshoot, analyze, and resolve issues in live production environments with minimal disruption.
- Respond promptly to customer queries and provide reliable technical support.

Team Leadership:
- Manage the development team by assigning tasks and ensuring timely delivery of project milestones.
- Conduct thorough code reviews and provide constructive feedback to team members.
- Mentor junior developers and support their technical growth.
- Collaborate with stakeholders to translate business requirements into effective technical solutions.

Requirements:
- Minimum 6 years of hands-on experience in full stack web application development.
- Proven experience in leading or coordinating a development team.
- Strong proficiency in ASP.NET, C#.NET, AngularJS, MS SQL, JavaScript, jQuery, HTML, and CSS.
- Solid understanding of RESTful APIs and Windows Services.
- Strong analytical, problem-solving, and communication skills.
- Experience in software product development; knowledge of POS systems is an added advantage.",https://apply.workable.com/fuku/j/62D31BA9AC/
"Python/Django Software Engineer (part-time, remote, with flexible schedule)",Remote,Full time,"Athens, Attica, Greece","The Role

Our company is growing and our solutions are expanding, leading to interesting technical and product challenges.

You will work on Python & Django, in collaboration with our Development and Product teams. Your goal will be to build a complex infrastructure of services to enhance our solutions for patients, clinicians, researchers, hospitals, as well as the industry.

Our solutions operate across multiple countries, helping improve quality of care, patient engagement, clinician workflows, and clinical research.

More specifically, you will contribute to the development of digital therapeutics and other patient-facing applications, clinician dashboards, remote patient monitoring workflows, integrations with third-party systems, analytics pipelines, and tools for researchers and clinical trials.

The position is part-time (~15-25 hours/week, with flexibility regarding the specific working hours throughout the week). It may evolve into a full-time position if mutually desired.",https://apply.workable.com/careacross/j/9CFFCE25FA/
